Temperature, WindSpeed, Event
0.541,0.000,0.667
0.547,0.000,0.667
0.550,0.000,0.667
0.510,0.098,0.667
0.510,0.098,0.667
0.481,0.129,0.667
0.478,0.098,0.667
0.498,0.098,0.667
0.541,0.000,0.667
0.581,0.000,0.000
0.633,0.000,0.000
0.633,0.227,0.000
0.617,0.258,0.000
0.613,0.227,0.000
0.633,0.193,0.000
0.633,0.193,0.000
0.601,0.258,0.000
0.590,0.162,0.000
0.590,0.000,0.000
0.601,0.098,0.000
0.581,0.162,0.000
0.590,0.129,0.000
0.581,0.000,0.667
0.561,0.000,0.667
0.601,0.000,0.000
0.581,0.098,0.000
0.581,0.000,0.000
0.581,0.098,0.000
0.550,0.162,0.000
0.521,0.098,0.000
0.550,0.162,0.667
0.570,0.000,0.000
0.673,0.098,0.000
0.744,0.129,0.000
0.785,0.000,0.000
0.714,0.258,0.000
0.693,0.258,0.000
0.704,0.291,0.000
0.682,0.322,0.000
0.682,0.291,0.000
0.652,0.193,0.000
0.652,0.193,0.000
0.622,0.162,0.000
0.633,0.162,0.000
0.642,0.000,0.000
0.622,0.098,0.000
0.601,0.098,0.000
0.590,0.098,0.000
0.570,0.129,0.000
0.541,0.098,0.000
0.510,0.098,0.667
0.510,0.000,0.667
0.481,0.098,0.667
0.489,0.098,0.667
0.485,0.000,0.667
0.521,0.000,0.667
0.537,0.098,0.667
0.601,0.129,0.667
0.656,0.000,0.667
0.620,0.258,0.667
0.601,0.291,0.667
0.583,0.227,0.667
0.601,0.162,0.667
0.567,0.291,0.667
0.567,0.193,0.667
0.567,0.098,0.000
0.570,0.000,0.000
0.570,0.162,0.000
0.570,0.098,0.000
0.570,0.193,0.000
0.570,0.000,0.000
0.561,0.098,0.000
0.550,0.000,0.000
0.567,0.000,0.000
0.541,0.193,0.000
0.533,0.193,0.667
0.530,0.162,0.667
0.541,0.162,0.667
0.529,0.162,0.667
0.533,0.098,0.667
0.559,0.000,0.667
0.583,0.098,0.000
0.633,0.098,0.000
0.652,0.098,0.000
0.642,0.258,0.000
0.652,0.098,0.000
0.633,0.258,0.000
0.613,0.227,0.667
0.601,0.162,0.000
0.601,0.162,0.000
0.581,0.098,0.000
0.581,0.129,0.000
0.590,0.000,0.000
0.570,0.000,0.000
0.561,0.000,0.000
0.550,0.098,0.000
0.550,0.098,0.000
0.538,0.000,0.000
0.530,0.000,0.000
0.513,0.000,0.000
0.521,0.098,0.000
0.489,0.098,0.000
0.521,0.162,0.000
0.561,0.129,0.000
0.642,0.162,0.000
0.714,0.129,0.000
0.734,0.098,0.000
0.753,0.000,0.000
0.765,0.098,0.000
0.725,0.291,0.000
0.693,0.322,0.000
0.693,0.227,0.000
0.662,0.193,0.000
0.642,0.000,0.000
0.642,0.129,0.000
0.662,0.098,0.000
0.642,0.000,0.000
0.622,0.129,0.000
0.613,0.000,0.000
0.601,0.129,0.000
0.633,0.193,0.000
0.581,0.098,0.000
0.570,0.162,0.000
0.550,0.000,0.000
0.550,0.000,0.000
0.541,0.000,0.000
0.581,0.098,0.000
0.581,0.000,0.000
0.652,0.098,0.000
0.714,0.098,0.000
0.744,0.098,0.000
0.765,0.000,0.000
0.785,0.193,0.000
0.765,0.258,0.000
0.734,0.387,0.000
0.714,0.258,0.000
0.673,0.129,0.000
0.642,0.162,0.000
0.662,0.000,0.000
0.673,0.098,0.000
0.642,0.000,0.000
0.652,0.000,0.000
0.652,0.129,0.000
0.622,0.162,0.000
0.633,0.162,0.000
0.581,0.098,0.000
0.550,0.098,0.000
0.541,0.098,0.000
0.530,0.129,0.000
0.521,0.129,0.000
0.541,0.129,0.000
0.550,0.000,0.000
0.613,0.129,0.000
0.633,0.162,0.000
0.662,0.129,0.000
0.682,0.162,0.000
0.693,0.000,0.000
0.652,0.291,0.000
0.633,0.227,0.000
0.633,0.129,0.000
0.622,0.098,0.000
0.613,0.098,0.000
0.622,0.000,0.000
0.633,0.000,0.000
0.601,0.162,0.000
0.601,0.000,0.000
0.590,0.000,0.000
0.581,0.000,0.000
0.550,0.000,0.000
0.541,0.162,0.000
0.530,0.098,0.000
0.510,0.098,0.000
0.520,0.129,0.667
0.512,0.098,0.667
0.535,0.098,0.667
0.541,0.000,0.667
0.538,0.098,0.667
0.564,0.000,0.667
0.613,0.000,0.000
0.633,0.000,0.000
0.662,0.000,0.000
0.642,0.322,0.000
0.622,0.322,0.000
0.613,0.227,0.000
0.601,0.162,0.000
0.590,0.098,0.000
0.581,0.129,0.000
0.590,0.129,0.000
0.581,0.000,0.000
0.581,0.098,0.000
0.570,0.098,0.000
0.558,0.000,0.000
0.550,0.129,0.000
0.561,0.098,0.000
0.544,0.162,0.000
0.544,0.162,0.000
0.539,0.098,0.000
0.521,0.098,0.000
0.515,0.098,0.667
0.538,0.098,0.667
0.570,0.098,0.667
0.578,0.000,0.667
0.601,0.162,0.667
0.601,0.227,0.000
0.601,0.258,0.000
0.601,0.322,0.000
0.601,0.322,0.000
0.613,0.356,0.000
0.601,0.227,0.000
0.590,0.162,0.000
0.590,0.000,0.000
0.581,0.129,0.000
0.581,0.129,0.000
0.570,0.162,0.000
0.550,0.162,0.000
0.550,0.227,0.000
0.541,0.098,0.000
0.521,0.000,0.000
0.510,0.000,0.000
0.498,0.098,0.000
0.498,0.000,0.000
0.510,0.000,0.000
0.498,0.098,0.000
0.521,0.000,0.000
0.581,0.000,0.000
0.622,0.000,0.000
0.642,0.162,0.000
0.652,0.129,0.000
0.652,0.227,0.000
0.662,0.322,0.000
0.642,0.193,0.000
0.642,0.129,0.000
0.622,0.098,0.000
0.601,0.129,0.000
0.590,0.162,0.000
0.601,0.000,0.000
0.601,0.129,0.000
0.601,0.000,0.000
0.590,0.098,0.000
0.561,0.129,0.000
0.550,0.000,0.000
0.525,0.000,0.667
0.510,0.129,0.667
0.510,0.000,0.667
0.510,0.000,0.667
0.494,0.000,0.667
0.510,0.000,0.000
0.530,0.098,0.000
0.581,0.098,0.000
0.642,0.129,0.000
0.652,0.162,0.000
0.673,0.227,0.000
0.662,0.258,0.000
0.652,0.258,0.000
0.642,0.291,0.000
0.633,0.356,0.000
0.622,0.227,0.000
0.613,0.129,0.000
0.601,0.129,0.000
0.590,0.162,0.000
0.596,0.291,0.000
0.590,0.129,0.000
0.581,0.129,0.000
0.581,0.000,0.000
0.581,0.129,0.000
0.564,0.162,0.667
0.540,0.162,0.667
0.530,0.193,0.667
0.527,0.162,0.667
0.529,0.129,0.667
0.530,0.162,0.667
0.528,0.098,0.667
0.540,0.000,0.000
0.582,0.098,0.000
0.622,0.193,0.000
0.652,0.098,0.000
0.682,0.098,0.000
0.673,0.193,0.000
0.662,0.000,0.000
0.693,0.098,0.000
0.642,0.193,0.000
0.652,0.129,0.000
0.633,0.098,0.000
0.642,0.098,0.000
0.633,0.098,0.000
0.642,0.193,0.000
0.622,0.098,0.000
0.590,0.000,0.000
0.561,0.000,0.000
0.541,0.000,0.000
0.530,0.000,0.000
0.521,0.000,0.000
0.510,0.098,0.000
0.530,0.000,0.000
0.521,0.000,0.000
0.541,0.098,0.000
0.642,0.098,0.000
0.714,0.098,0.000
0.734,0.129,0.000
0.753,0.098,0.000
0.826,0.227,0.000
0.826,0.000,0.000
0.836,0.000,0.000
0.817,0.098,0.000
0.744,0.162,0.000
0.693,0.098,0.000
0.725,0.227,0.000
0.714,0.227,0.000
0.704,0.129,0.000
0.682,0.193,0.000
0.622,0.129,0.000
0.642,0.098,0.000
0.633,0.098,0.000
0.581,0.000,0.000
0.570,0.000,0.000
0.541,0.098,0.000
0.530,0.000,0.000
0.561,0.000,0.000
0.601,0.000,0.000
0.561,0.193,0.000
0.622,0.129,0.000
0.753,0.193,0.000
0.785,0.162,0.000
0.765,0.258,0.000
0.796,0.227,0.000
0.774,0.258,0.000
0.774,0.098,0.000
0.796,0.162,0.000
0.765,0.098,0.000
0.725,0.129,0.000
0.714,0.000,0.000
0.744,0.000,0.000
0.652,0.162,0.000
0.673,0.129,0.000
0.662,0.000,0.000
0.673,0.000,0.000
0.652,0.000,0.000
0.581,0.000,0.000
0.561,0.098,0.000
0.561,0.098,0.000
0.561,0.098,0.000
0.550,0.000,0.000
0.590,0.000,0.000
0.601,0.129,0.000
0.704,0.000,0.000
0.774,0.000,0.000
0.796,0.098,0.000
0.836,0.098,0.000
0.836,0.193,0.000
0.805,0.291,0.000
0.785,0.291,0.000
0.805,0.193,0.000
0.774,0.227,0.000
0.725,0.193,0.000
0.714,0.000,0.000
0.744,0.000,0.000
0.734,0.162,0.000
0.704,0.129,0.000
0.693,0.098,0.000
0.642,0.000,0.000
0.693,0.129,0.000
0.622,0.000,0.000
0.590,0.000,0.000
0.613,0.000,0.000
0.561,0.098,0.000
0.590,0.000,0.000
0.583,0.000,0.000
0.638,0.000,0.000
0.712,0.000,0.000
0.675,0.098,0.000
0.730,0.000,0.000
0.822,0.193,0.000
0.840,0.098,0.000
0.822,0.162,0.000
0.785,0.258,0.000
0.748,0.129,0.000
0.748,0.129,0.000
0.748,0.129,0.000
0.734,0.129,0.000
0.734,0.000,0.000
0.704,0.098,0.000
0.682,0.000,0.000
0.662,0.000,0.000
0.682,0.193,0.000
0.662,0.000,0.000
0.590,0.098,0.000
0.570,0.162,0.000
0.570,0.000,0.000
0.590,0.000,0.000
0.583,0.129,0.000
0.638,0.098,0.000
0.712,0.162,0.000
0.730,0.129,0.000
0.767,0.162,0.000
0.817,0.162,0.000
0.845,0.098,0.000
0.865,0.000,0.000
0.748,0.420,0.000
0.748,0.420,0.000
0.753,0.356,0.000
0.704,0.322,0.000
0.673,0.291,0.000
0.682,0.258,0.000
0.682,0.098,0.000
0.633,0.098,0.000
0.652,0.129,0.000
0.642,0.098,0.000
0.693,0.129,0.000
0.642,0.162,0.000
0.613,0.098,0.000
0.613,0.162,0.000
0.581,0.129,0.000
0.570,0.162,0.000
0.570,0.162,0.000
0.561,0.193,0.000
0.583,0.098,0.000
0.656,0.098,0.000
0.730,0.129,0.000
0.767,0.193,0.000
0.822,0.098,0.000
0.822,0.000,0.000
0.765,0.258,0.000
0.693,0.322,0.000
0.682,0.322,0.000
0.673,0.291,0.000
0.642,0.162,0.000
0.638,0.129,0.000
0.642,0.000,0.000
0.613,0.000,0.000
0.633,0.000,0.000
0.601,0.000,0.000
0.613,0.098,0.000
0.561,0.000,0.000
0.550,0.000,0.000
0.530,0.129,0.000
0.521,0.193,0.000
0.521,0.000,0.000
0.541,0.000,0.000
0.570,0.193,0.000
0.561,0.098,0.000
0.613,0.098,0.000
0.673,0.129,0.000
0.704,0.129,0.000
0.765,0.000,0.000
0.734,0.227,0.000
0.704,0.193,0.000
0.704,0.193,0.000
0.704,0.193,0.000
0.662,0.129,0.000
0.654,0.000,0.000
0.642,0.129,0.000
0.642,0.000,0.000
0.633,0.000,0.000
0.613,0.000,0.000
0.601,0.000,0.000
0.590,0.000,0.000
0.561,0.000,0.000
0.550,0.000,0.000
0.550,0.000,0.000
0.510,0.000,0.000
0.521,0.000,0.000
0.521,0.000,0.000
0.528,0.000,0.667
0.565,0.000,0.667
0.616,0.000,0.667
0.656,0.000,0.000
0.734,0.129,0.000
0.734,0.129,0.000
0.734,0.129,0.000
0.673,0.291,0.000
0.693,0.322,0.000
0.673,0.258,0.000
0.642,0.322,0.000
0.622,0.258,0.000
0.613,0.162,0.000
0.613,0.129,0.000
0.613,0.098,0.000
0.601,0.129,0.000
0.581,0.098,0.000
0.601,0.000,0.000
0.570,0.000,0.000
0.561,0.000,0.000
0.573,0.162,0.667
0.521,0.098,0.000
0.550,0.129,0.000
0.561,0.129,0.000
0.565,0.098,0.000
0.620,0.098,0.000
0.675,0.129,0.000
0.716,0.129,0.000
0.774,0.000,0.000
0.725,0.227,0.000
0.704,0.227,0.000
0.725,0.258,0.000
0.714,0.227,0.000
0.693,0.258,0.000
0.652,0.193,0.000
0.642,0.227,0.000
